ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Isolasi di Rumah;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
;;;;TOTAL;1111539;119;55662;2311;1053447;15319;660;0;8602;6057;68515;0;7818;60697;1458933;0;54713;1404220;19645;0;1;19644;445302;6769;422121;7557;8855;
3172051003;DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;3022;1;308;0;2713;12;0;0;0;12;195;0;17;178;2497;0;74;2423;19;0;0;19;1028;12;995;14;7;
3173041007;DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;2181;0;64;2;2115;4;0;0;2;2;55;0;11;44;1884;0;73;1811;31;0;0;31;866;25;795;14;32;
3175041005;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;1672;0;67;1;1604;16;0;0;0;16;27;0;4;23;2608;0;85;2523;37;0;0;37;1081;20;1007;22;32;
3175031003;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;599;0;31;1;567;8;0;0;0;8;13;0;0;13;1075;0;26;1049;17;0;0;17;417;6;392;8;11;
3175101006;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;2457;0;107;1;2349;33;3;0;0;30;22;0;1;21;3326;0;147;3179;32;0;0;32;1274;19;1152;19;84;
3174031002;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;2326;1;86;2;2237;12;0;0;1;11;52;0;1;51;3073;0;94;2979;14;0;0;14;997;10;959;13;15;
3175051002;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;2397;0;109;1;2287;39;3;0;0;36;20;0;1;19;2171;0;71;2100;22;0;0;22;1378;9;1328;19;22;
3175041004;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;2968;0;157;1;2810;19;4;0;0;15;32;0;2;30;4810;0;109;4701;35;0;0;35;1961;17;1871;35;38;
3171071002;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;2823;0;112;0;2711;20;0;0;0;20;30;0;1;29;3043;0;87;2956;25;0;0;25;1159;14;1110;18;17;
3175031002;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;2158;0;101;3;2054;26;7;0;0;19;50;0;4;46;3106;0;64;3042;58;0;0;58;1524;10;1444;32;38;
3174101002;DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;5116;0;205;2;4909;16;0;0;0;16;154;0;9;145;4908;0;137;4771;37;0;0;37;1992;20;1891;44;37;
3174011005;DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;2395;0;136;3;2256;27;0;0;0;27;31;0;6;25;2346;0;73;2273;29;0;0;29;1132;11;1075;21;25;
3171041006;DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;1298;0;68;2;1228;19;2;0;0;17;35;0;0;35;2005;0;52;1953;36;0;0;36;791;16;744;19;12;
3175061007;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;2035;0;92;1;1942;23;5;0;0;18;32;0;0;32;2618;0;67;2551;79;0;0;79;1217;18;1164;15;20;
3175061004;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;2488;1;141;2;2344;35;5;0;2;28;42;0;6;36;3512;0;121;3391;74;0;0;74;1573;25;1471;30;47;
3175041007;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;2145;0;74;0;2071;14;2;0;0;12;31;0;4;27;3855;0;107;3748;34;0;0;34;1604;17;1547;21;19;
3175101008;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;1640;0;56;0;1584;31;9;0;0;22;11;0;0;11;1794;0;45;1749;16;0;0;16;994;2;962;17;13;
3171031006;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;2691;0;100;2;2589;7;0;0;1;6;27;0;2;25;3476;0;72;3404;52;0;0;52;1627;11;1557;33;26;
3171051002;DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;4880;1;172;2;4705;46;0;0;1;45;156;0;12;144;6004;0;162;5842;96;0;0;96;2155;32;2029;43;51;
3171051001;DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;4504;0;297;1;4206;30;1;0;1;28;115;0;4;111;5258;0;174;5084;84;0;0;84;1508;27;1434;23;24;
3173011001;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;5117;0;176;1;4940;29;14;0;0;15;59;0;1;58;8475;0;225;8250;25;0;0;25;2896;49;2741;55;51;
3173011006;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;5253;0;264;7;4982;21;1;0;0;20;92;0;2;90;7061;0;237;6824;21;0;0;21;3060;76;2816;62;106;
3175091002;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIBUBUR;5245;0;162;4;5079;55;6;0;0;49;61;0;7;54;7566;0;214;7352;106;0;0;106;2784;25;2657;48;54;
3171011002;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;1907;1;66;2;1838;10;1;0;0;9;46;0;1;45;2447;0;45;2402;18;0;0;18;826;20;772;13;21;
3174091003;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIGANJUR;3921;3;127;1;3790;10;1;0;0;9;28;0;1;27;3589;0;110;3479;22;0;0;22;1798;30;1667;29;72;
3175051003;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;CIJANTUNG;3919;1;121;3;3794;47;3;0;0;44;74;0;24;50;3102;0;108;2994;35;0;0;35;2049;20;1924;52;53;
3171061003;DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;773;0;28;0;745;5;0;0;0;5;72;0;4;68;1295;0;46;1249;13;0;0;13;349;1;330;8;10;
3174081006;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;CIKOKO;843;0;22;0;821;5;0;0;0;5;14;0;0;14;1178;0;27;1151;4;0;0;4;541;6;518;7;10;
3174061001;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;7399;0;293;5;7101;15;0;0;1;14;251;0;26;225;8930;0;325;8605;50;0;0;50;2802;37;2673;40;52;
